position,gotchiID,name,withSetsRarityScore,kinship,experience,level,originalOwner,originalWeight,weightAmongEligible,reward
2,8396,KINSHIP,653,3652,4725,10,0xbb73548a0e6f839fb58e9d59969ba6aedecdf5f1,0.590496330715,0.021884461443,1.620872636806
3,7422,Blind,752,3647,8225,13,0x8f652eff4ba275e023f124a98af86025ab0e5eec,0.433898197926,0.016080757642,1.191021314775
4,8612,Unity,508,3524,6025,11,0xe5f6dbc39334f3e79c149efb8c8c9c8dec474af1,0.348685916588,0.012922694182,0.957119344590
5,7848,BB,758,3515,8105,13,0x8f652eff4ba275e023f124a98af86025ab0e5eec,0.294294941113,0.010906903154,0.807819782085
6,1743,Pinkeye,817,3500,18940,20,0x8f652eff4ba275e023f124a98af86025ab0e5eec,0.256215293779,0.009495628383,0.703293716178
7,1998,Apollo,590,3483,5655,11,0xa33aa58fd2795ea89a84c19cacdad50915194980,0.227890116066,0.008445865281,0.625543012066
8,4350,Whopper,736,3470,24535,23,0x96fe6681b5b8be0c5d6e8eb690adec7ecb0831c9,0.205897754317,0.007630803497,0.565175461036
9,1840,Super-Polygon,563,3463,5020,11,0x262944448ec574dd5f82136964bbf189cc1ab579,0.188267646163,0.006977411762,0.516782002172
10,4566,KingShip Rank 11,544,3461,5445,11,0x38ff11d71e32d6a97da15bdcfbcdfccdeda9e637,0.173780082875,0.006440486292,0.477014617200
11,8121,Boomer,744,3461,4680,10,0x8f652eff4ba275e023f124a98af86025ab0e5eec,0.161637289554,0.005990460647,0.443683467783
12,1836,KingShip Rank 14,513,3460,5720,11,0x38ff11d71e32d6a97da15bdcfbcdfccdeda9e637,0.151294190850,0.005607133718,0.415292358818
13,5935,Voland,568,3459,7535,13,0x2f08d099c60823ce5955e747909d216dcbc9bf21,0.142364940927,0.005276205623,0.390782169485
14,7653,Posvist Suslika,538,3458,6615,12,0x2f08d099c60823ce5955e747909d216dcbc9bf21,0.134568277343,0.004987252458,0.369380853329
15,8554,KingShip Rank 18,488,3457,5570,11,0x38ff11d71e32d6a97da15bdcfbcdfccdeda9e637,0.127694044608,0.004732485623,0.350511547696
16,1838,Super-Alcoholism,497,3455,6520,12,0x262944448ec574dd5f82136964bbf189cc1ab579,0.121581868427,0.004505961466,0.333734035952
17,4567,Pokey,574,3455,5305,11,0x6519e6117480d140cd7d33163ac30fd01812f34a,0.116107111203,0.004303060775,0.318706196294
18,4564,Pinky,580,3455,5300,11,0x6519e6117480d140cd7d33163ac30fd01812f34a,0.111171354252,0.004120136044,0.305157876062
19,4561,Inky,540,3454,5300,11,0x6519e6117480d140cd7d33163ac30fd01812f34a,0.106695785061,0.003954266391,0.292872740222
20,3169,Faust,633,3453,10400,15,0x35001a8bdb3a224d05f086094c12fd4c9009986d,0.102616501289,0.003803083523,0.281675381154
21,9175,Puff,558,3453,6560,12,0x8f652eff4ba275e023f124a98af86025ab0e5eec,0.098881110686,0.003664645726,0.271421985661
22,6447,Barbie,621,3453,5995,11,0x35001a8bdb3a224d05f086094c12fd4c9009986d,0.095446226388,0.003537345031,0.261993459725
23,9634,Clyde,587,3452,5305,11,0x6519e6117480d140cd7d33163ac30fd01812f34a,0.092275592957,0.003419837772,0.253290284613
24,6350,Aavesome,651,3451,7825,13,0xc727bff1962590c71a6cb56c6d11f37bee740a5d,0.089338664555,0.003310991886,0.245228614056
25,4682,Pacifist,549,3451,5255,11,0xa33aa58fd2795ea89a84c19cacdad50915194980,0.086609512364,0.003209846421,0.237737275198
26,4679,Eva,505,3451,4745,10,0xa33aa58fd2795ea89a84c19cacdad50915194980,0.084065975240,0.003115580061,0.230755437189
